;;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024
;;Total;0-2 años;2-5 años;5-10 años;10 y más años;Total;0-2 años;2-5 años;5-10 años;10 y más años;Total;0-2 años;2-5 años;5-10 años;10 y más años;Total;0-2 años;2-5 años;5-10 años;10 y más años;Total;0-2 años;2-5 años;5-10 años;10 y más años;Total;0-2 años;2-5 años;5-10 años;10 y más años;Total;0-2 años;2-5 años;5-10 años;10 y más años
01. Centro;011. Palacio;199;27;19;49;104;140;35;31;9;65;109;35;13;6;55;113;14;15;4;80;146;16;24;15;91;195;62;31;25;77;204;30;28;39;107
01. Centro;016. Sol;85;13;11;10;51;58;11;2;12;33;51;17;10;5;19;80;16;18;7;39;105;17;12;23;53;92;15;13;15;49;95;33;11;18;33
02. Arganzuela;021. Imperial;79;7;4;6;62;87;6;2;4;75;92;8;3;4;77;108;10;5;3;90;143;14;2;8;119;118;15;8;7;88;149;19;19;9;102
02. Arganzuela;022. Acacias;23;4;5;5;9;21;5;0;3;13;27;9;2;4;12;43;5;10;4;24;121;11;12;10;88;134;24;9;10;91;141;18;8;18;97
02. Arganzuela;023. Chopera;113;51;51;3;8;48;11;32;2;3;27;12;6;4;5;44;2;23;9;10;84;12;14;13;45;89;22;10;11;46;115;25;20;20;50
02. Arganzuela;024. Legazpi;146;2;17;18;109;85;3;18;10;54;52;3;1;4;44;104;5;6;11;82;123;5;6;8;104;126;6;22;9;89;140;6;4;12;118
09. Moncloa-Aravaca;091. Casa de Campo;74;5;2;7;60;89;6;3;2;78;73;3;2;2;66;106;4;6;3;93;105;4;8;2;91;82;4;6;4;68;107;7;3;6;91
10. Latina;101. Los Cármenes;86;9;6;10;61;90;6;2;8;74;67;6;7;3;51;96;4;13;8;71;101;5;12;5;79;95;7;16;5;67;113;10;6;13;84
10. Latina;102. Puerta del Ángel;346;37;16;25;268;322;34;7;10;271;257;20;13;6;218;396;24;17;11;344;513;43;24;29;417;436;45;20;15;356;482;60;25;25;372
10. Latina;103. Lucero;202;17;7;14;164;207;24;16;26;141;155;20;16;14;105;219;17;16;21;165;222;16;29;20;157;214;21;20;18;155;233;27;20;20;166
10. Latina;104. Aluche;265;29;17;18;201;230;24;14;20;172;184;20;14;17;133;289;20;42;32;195;320;30;37;48;205;237;25;21;36;155;358;44;37;31;246
11. Carabanchel;111. Comillas;89;19;5;15;50;78;10;13;6;49;85;18;10;7;50;100;15;14;19;52;134;21;26;21;66;134;20;14;17;83;150;27;19;27;77
11. Carabanchel;112. Opañel;117;23;49;11;34;95;38;19;13;25;54;15;11;6;22;67;17;21;10;19;101;16;24;25;36;96;22;16;33;25;109;22;17;32;38
11. Carabanchel;113. San Isidro;181;33;17;22;109;156;30;16;20;90;141;23;21;16;81;213;33;28;22;130;238;43;35;28;132;211;43;27;18;123;233;41;22;37;133
12. Usera;12. Usera;358;74;29;30;225;546;152;52;79;263;474;131;55;60;228;533;111;91;85;246;371;62;53;58;198;350;58;58;45;189;452;80;66;73;233
12. Usera;124. Almendrales;64;9;6;5;44;99;29;3;18;49;95;26;9;10;50;102;20;17;14;51;65;8;9;8;40;97;11;15;8;63;93;22;13;9;49
12. Usera;125. Moscardó;68;16;8;2;42;89;23;13;6;47;74;18;14;12;30;104;22;19;13;50;106;17;15;15;59;88;23;13;10;42;102;16;14;20;52
12. Usera;127. Pradolongo;40;23;1;4;12;111;45;17;11;38;87;33;10;8;36;86;28;15;12;31;18;5;2;3;8;4;1;0;0;3;25;9;3;4;9
13. Puente de Vallecas;136. Numancia;392;132;63;80;117;389;143;60;83;103;316;126;55;60;75;456;176;78;71;131;537;167;117;111;142;403;116;62;75;150;283;50;33;45;155
