;;2018;2019;2020;2021;2022;2023;2024
;;Viviendas;Viviendas;Viviendas;Viviendas;Viviendas;Viviendas;Viviendas
01. Centro;011. Palacio;24,61;46,14;56,49;86,94;82,53;33,22;85,85
01. Centro;016. Sol;35,71;31,16;53,16;52,09;15,25;57,01;58,58
02. Arganzuela;021. Imperial;29,42;93,74;20,58;11,97;96,37;98,03;86,43
02. Arganzuela;022. Acacias;22,25;70,23;90,1;88,72;98,53;93,25;97,45
02. Arganzuela;023. Chopera;95,78;97,94;93,17;98,94;96,73;98,1;92,49
02. Arganzuela;024. Legazpi;75,73;83,8;96,99;65,7;52,59;96,66;94,94
09. Moncloa-Aravaca;091. Casa de Campo;91,78;97,54;93,3;80,23;98,08;97,92;98,53
10. Latina;101. Los Cármenes;94,29;95,64;99,75;98,49;95,8;98,98;92,52
10. Latina;102. Puerta del Ángel;86,16;93,22;65,74;96,72;97,49;97,04;96,94
10. Latina;103. Lucero;96,25;97,64;98,77;99,23;99,02;99,57;98,25
10. Latina;104. Aluche;60,32;97,24;97,56;99,09;98,17;99,1;89,97
11. Carabanchel;111. Comillas;95,36;96,98;93,69;97,15;94,9;88,17;75,39
11. Carabanchel;112. Opañel;94,74;61,31;67,79;90,62;93,67;93,95;93,36
11. Carabanchel;113. San Isidro;83,47;95,88;95,83;91,65;86,95;90,91;65,98
12. Usera;12. Usera;91,54;96,98;98,24;97,65;98,11;82,88;80,93
12. Usera;124. Almendrales;96,86;99,01;98,94;93,22;99,84;52,66;94,06
12. Usera;125. Moscardó;90,14;95,22;93,09;98,81;96,81;94,14;97
12. Usera;127. Pradolongo;90,48;87,29;97,87;97,77;94,33;96,76;69,89
13. Puente de Vallecas;136. Numancia;90,91;97,2;96,47;95,22;94;98,02;86,21
